run_id,entry_pc,step,pc,space,addr,value,previous_value,access_type,role_candidate,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,93,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,94,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,97,0x4155,sfr,0x0082,0x48,0x40,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,99,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,100,0x415B,sfr,0x0083,0x09,0x08,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,103,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,104,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,107,0x4155,sfr,0x0082,0x50,0x48,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,109,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,110,0x415B,sfr,0x0083,0x0A,0x09,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,113,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,114,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,117,0x4155,sfr,0x0082,0x58,0x50,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,119,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,120,0x415B,sfr,0x0083,0x0B,0x0A,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,123,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
