scenario,ret_mode,entry_pc,seeded_return_addr,sp_before_ret,popped_low,popped_high,continued_pc,continued_inside_image,max_steps,steps,stop_reason,reached_4176,reached_41D0,reached_492E,reached_4954,reached_497A,reached_5710,reached_5717,reached_5725,reached_55AD,reached_5602,reached_5A7F,reached_36F2_36F9_writes,writes_31FF_3268,writes_36F2_36F9,evidence_level,confidence,notes
boot_4100_ret_stack_to_4176,hardware_stack_pop,0x4100,0x4176,0x2F,0x76,0x41,0x4176,True,2500,49,unsupported_opcode 0xC3 at 0x4183,yes,no,no,no,no,no,no,no,no,no,no,no,0,0,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_to_41D0,hardware_stack_pop,0x4100,0x41D0,0x2F,0xD0,0x41,0x41D0,True,2500,42,unsupported_opcode 0xA2 at 0x41E8,no,yes,no,no,no,no,no,no,no,no,no,no,0,0,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_to_492E,hardware_stack_pop,0x4100,0x492E,0x2F,0x2E,0x49,0x492E,True,2500,49,unsupported_opcode 0xC3 at 0x493B,no,no,yes,no,no,no,no,no,no,no,no,no,0,0,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_to_4954,hardware_stack_pop,0x4100,0x4954,0x2F,0x54,0x49,0x4954,True,2500,49,unsupported_opcode 0xC3 at 0x4961,no,no,no,yes,no,no,no,no,no,no,no,no,0,0,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_to_497A,hardware_stack_pop,0x4100,0x497A,0x2F,0x7A,0x49,0x497A,True,2500,49,unsupported_opcode 0xC3 at 0x4987,no,no,no,no,yes,no,no,no,no,no,no,no,0,0,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_to_5710,hardware_stack_pop,0x4100,0x5710,0x2F,0x10,0x57,0x5710,True,2500,2500,max_steps,no,no,no,no,no,yes,yes,yes,no,no,yes,no,177,0,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_to_55AD,hardware_stack_pop,0x4100,0x55AD,0x2F,0xAD,0x55,0x55AD,True,2500,2500,max_steps,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,159,8,emulation_observed,low,ret_target_visible_continued;stack_bytes=seeded;seed_low=True;seed_high=True
boot_4100_ret_stack_default_unseeded,hardware_stack_pop,0x4100,,0x2F,0x00,0x00,0x0000,False,2500,40,ret_target_unknown,no,no,no,no,no,no,no,no,no,no,no,no,0,0,emulation_observed,low,ret_target_unknown;stack_bytes=default;seed_low=False;seed_high=False
