run_id,entry_pc,step,pc,access_type,space,addr,value,role_candidate,nearby_code_context,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,77,0x4155,write,sfr,0x0082,0x38,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,79,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,80,0x415B,write,sfr,0x0083,0x07,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,83,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,84,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,87,0x4155,write,sfr,0x0082,0x40,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,89,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,90,0x415B,write,sfr,0x0083,0x08,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,93,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,94,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,97,0x4155,write,sfr,0x0082,0x48,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,99,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,100,0x415B,write,sfr,0x0083,0x09,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,103,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,104,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,107,0x4155,write,sfr,0x0082,0x50,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,109,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,110,0x415B,write,sfr,0x0083,0x0A,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,113,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,114,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,117,0x4155,write,sfr,0x0082,0x58,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,119,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
