scenario,entry_pc,max_steps,steps,stop_reason,last_pc,pc_sequence_digest,reached_4113,reached_4119,reached_4128,reached_412B,reached_412E,reached_4139,reached_415F,reached_4165,ret_pc,sp_at_stop,stack_digest,trace_consistent,inconsistency_reason,notes
config_record_seed_terminator_ff,0x4100,5000,40,ret_from_entry,0x4175,b1d648e1d4f19e6d,yes,yes,yes,yes,no,no,yes,yes,0x4175,0x07,0000000000000000,yes,,LJMP 0x415F observed via 0x412B path; function returns at 0x4175 with empty call stack
config_record_seed_type02_minimal,0x4100,5000,40,ret_from_entry,0x4175,b1d648e1d4f19e6d,yes,yes,yes,yes,no,no,yes,yes,0x4175,0x07,0000000000000000,yes,,LJMP 0x415F observed via 0x412B path; function returns at 0x4175 with empty call stack
config_record_seed_type02_chain_to_0a,0x4100,5000,40,ret_from_entry,0x4175,b1d648e1d4f19e6d,yes,yes,yes,yes,no,no,yes,yes,0x4175,0x07,0000000000000000,yes,,LJMP 0x415F observed via 0x412B path; function returns at 0x4175 with empty call stack
config_record_seed_type02_with_address_sequence,0x4100,5000,40,ret_from_entry,0x4175,b1d648e1d4f19e6d,yes,yes,yes,yes,no,no,yes,yes,0x4175,0x07,0000000000000000,yes,,LJMP 0x415F observed via 0x412B path; function returns at 0x4175 with empty call stack
default_boot_4100_no_seed,0x4100,5000,5000,max_steps,0x415D,c37fc5389e28edba,yes,yes,no,no,no,no,no,no,,0x07,0000000000000000,yes,,Unseeded boot stays in 0x4112..0x415D stride loop and never exits to 0x415F within 5000 steps
