scenario,function_addr,loop_region,iteration_sample,step,pc,acc,b,dptr,psw,selected_xdata_digest,selected_sfr_digest,notes
packet_bridge_seeded_context_zeroed,0x5602,0x567F..0x5683,middle,454,0x567F,0x00,unknown,0x7188,unknown,0x30AC=0x01;0x30D4=0x08,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_zeroed,0x5602,0x567F..0x5683,last,549,0x5683,0x00,unknown,0x71A0,unknown,0x30AC=0x01;0x30D4=0x08,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_zeroed,0x5602,0x5935..0x593D,first,74,0x5935,0x00,unknown,0x710C,unknown,0x30AC=0x00;0x30B4=0x00;0x30BC=0x00;0x30CC=0x00;0x30D4=0x00;0x30E0=0x00;0x30E1=0x00;0x30E7=0x00;0x30E9=0x00;0x30EA=0x00;0x30EB=0x00;0x30EC=0x00,0x0081=0x09;0x00D0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_zeroed,0x5602,0x5935..0x593D,middle,280,0x5935,0x04,unknown,0x30E6,unknown,0x30AC=0x01;0x30D4=0x04,0x0081=0x09;0x00D0=0x80;0x00F0=0x03,compact_loop_snapshot
packet_bridge_seeded_context_zeroed,0x5602,0x5935..0x593D,last,681,0x593D,0x07,unknown,0x316D,unknown,0x30AC=0x01;0x30CC=0x0E;0x30D4=0x08,0x0081=0x07;0x00D0=0x80;0x00F0=0x07,compact_loop_snapshot
packet_bridge_seeded_context_mode_e1,0x55AD,0x5715..0x5733,first,937,0x5715,0x80,unknown,0x31FF,unknown,0x30AC=0x00;0x30CC=0x0E;0x30D4=0x07;0x30EE=0x00,0x0081=0x07;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
packet_bridge_seeded_context_mode_e1,0x55AD,0x5715..0x5733,middle,2969,0x5733,0x07,unknown,0x3340,unknown,0x30AC=0x00;0x30CC=0x0E;0x30D4=0x07;0x30EE=0x00,0x0081=0x07;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
packet_bridge_seeded_context_mode_e1,0x55AD,0x5715..0x5733,last,5000,0x572E,0x07,unknown,0x3481,unknown,0x30AC=0x00;0x30CC=0x0E;0x30D4=0x07;0x30EE=0x00,0x0081=0x07;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
packet_bridge_seeded_context_mode_e1,0x55AD,0x567F..0x5683,first,429,0x567F,0x00,unknown,0x7170,unknown,0x30AC=0x00;0x30D4=0x07,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_mode_e1,0x55AD,0x567F..0x5683,middle,525,0x567F,0x00,unknown,0x7188,unknown,0x30AC=0x00;0x30D4=0x07,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
