scenario,entry_pc,max_steps,steps,stop_reason,last_pc,exited_4100_loop,reached_415F,reached_beyond_4165,reached_display_candidate,reached_keypad_candidate,reached_uart_init_candidate,sbuf_writes,uart_tx_candidates,unsupported_ops,notes
boot_4100_seed_x0030_zero_pointer,0x4100,2000,2000,stable_runtime_loop_detected,0x415B,no,no,no,no,no,no,0,0,0,emulation_observed
boot_4100_seed_x0030_self_pointer,0x4100,2000,2000,stable_runtime_loop_detected,0x415B,no,no,no,no,no,no,0,0,0,emulation_observed
boot_4100_seed_x0030_to_0200_ff,0x4100,10000,40,ret_from_entry,0x4128,yes,no,no,no,no,no,0,0,0,emulation_observed
boot_4100_seed_x0030_to_0200_00,0x4100,2000,40,ret_from_entry,0x4128,yes,no,no,no,no,no,0,0,0,emulation_observed
boot_4100_seed_x0030_to_0200_02_record,0x4100,2000,40,ret_from_entry,0x4128,yes,no,no,no,no,no,0,0,0,emulation_observed
boot_4100_seed_x0030_to_0200_0a_record,0x4100,2000,40,ret_from_entry,0x4128,yes,no,no,no,no,no,0,0,0,emulation_observed
boot_4100_seed_x0030_project_like_minimal,,,,,,,,,,,,,,,not_run_not_enough_project_config_evidence
