iteration,scenario,function_addr,pc,op,condition_source,condition_value,target_pc,taken,count,first_step,last_step,notes
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x02,0x5765,no,1,103,103,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x03,0x5765,no,1,139,139,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x04,0x5765,no,1,175,175,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x05,0x5765,no,1,211,211,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x06,0x5765,no,1,247,247,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x07,0x5765,no,1,283,283,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5766,CJNE,R0,#0x08,0x5741,no,1,310,310,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5766,CJNE,R0,#0x08,0x5741,yes,7,58,274,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x00,0x5791,yes,1,321,321,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x01,0x5791,no,1,332,332,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x02,0x5791,no,1,368,368,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x03,0x5791,no,1,404,404,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x04,0x5791,no,1,440,440,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x05,0x5791,no,1,476,476,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x06,0x5791,no,1,512,512,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x07,0x5791,no,1,548,548,emulation_observed
1,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x58BA,JZ,A,0x13,0x58CA,no,1,1355,1355,emulation_observed
