scenario,entry_context,callsite_pc,callee_addr,steps_in_callee,returned,return_pc,acc_entry,acc_exit,r0_entry,r0_exit,r1_entry,r1_exit,dptr_entry,dptr_exit,psw_entry,psw_exit,xdata_reads_digest,xdata_writes_digest,sfr_writes_digest,sbuf_writes,uart_tx_candidates,notes
packet_bridge_loop_force_r3_01,autonomous_post_loop_entry@0x5715,0x574E?,0x5A7F,0,no,,,,,,,,,,unknown,unknown,,,sfr_uart=0;serial_bits=0,0,0,callee_not_observed
packet_bridge_loop_force_r3_01,autonomous_post_loop_entry@0x5715,0x574E?,0x5A7F,0,no,,,,,,,,,,unknown,unknown,,,sfr_uart=0;serial_bits=0,0,0,callee_not_observed
packet_bridge_stub_5a7f,direct_helper_entry_hypothesis,forced_entry,0x5A7F,1,yes,0x5A81,0x00,0x00,0x00,0x00,0x00,0x00,0x0000,0x0000,unknown,unknown,,,0x0082:0x00;0x0083:0x00;0x00D0:0x00,0,0,emulation_observed_compact
packet_bridge_post_loop_from_574E_context,forced_entry_from_574E_hypothesis,0x574E,0x5A7F,34,yes,0x5A81,0x00,0x00,0x00,0x00,0x01,0x01,0x30C4,0x30C4,unknown,unknown,0x30B4;0x30C4;0x30CC;0x30E0;0x30E1;0x316D;0x710C,0x31FF:0x04;0x31FF:0x05;0x31FF:0x0D;0x31FF:0x80;0x3201:0x01;0x3201:0x02;0x3201:0x03;0x3201:0x04,0x0081:0x07;0x0081:0x08;0x0081:0x09;0x0081:0x0A;0x0081:0x0B;0x0082:0x00;0x0082:0x06;0x0082:0x07,0,0,emulation_observed_compact
direct_callsite_0x571A,direct_callsite_entry_hypothesis,0x571A,0x5A7F,61,yes,0x5A81,0x00,0x00,0x00,0x00,0x01,0x01,0x0000,0x0000,unknown,unknown,,0x0000:0x01;0x0001:0x00;0x0002:0x00;0x0003:0x00;0x0003:0x01;0x0003:0x80;0x0004:0x00;0x0005:0x01,0x0081:0x07;0x0081:0x08;0x0081:0x09;0x0082:0x00;0x0082:0x04;0x0082:0x07;0x0082:0x0B;0x0082:0x0D,0,0,emulation_observed_compact
direct_callsite_0x5730,direct_callsite_entry_hypothesis,0x5730,0x5A7F,61,yes,0x5A81,0x00,0x00,0x00,0x00,0x01,0x01,0x0000,0x0000,unknown,unknown,,0x0000:0x01;0x0000:0x80;0x0001:0x00;0x0002:0x00;0x0003:0x00;0x0003:0x01;0x0003:0x80;0x0004:0x00,0x0081:0x07;0x0081:0x08;0x0081:0x09;0x0082:0x00;0x0082:0x04;0x0082:0x06;0x0082:0x0A;0x0082:0x0D,0,0,emulation_observed_compact
