run_id,entry_pc,step,pc,access_type,space,addr,value,role_candidate,branch_dependency,evidence_level,confidence,notes
boot_4000_20260428T080929Z,0x4000,579,0x4159,read,sfr,0x0083,0x38,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,586,0x4153,read,sfr,0x0082,0xC8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,589,0x4159,read,sfr,0x0083,0x39,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,596,0x4153,read,sfr,0x0082,0xD0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,599,0x4159,read,sfr,0x0083,0x3A,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,606,0x4153,read,sfr,0x0082,0xD8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,609,0x4159,read,sfr,0x0083,0x3B,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,616,0x4153,read,sfr,0x0082,0xE0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,619,0x4159,read,sfr,0x0083,0x3C,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,626,0x4153,read,sfr,0x0082,0xE8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,629,0x4159,read,sfr,0x0083,0x3D,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,636,0x4153,read,sfr,0x0082,0xF0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,639,0x4159,read,sfr,0x0083,0x3E,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,646,0x4153,read,sfr,0x0082,0xF8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,649,0x4159,read,sfr,0x0083,0x3F,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,656,0x4153,read,sfr,0x0082,0x00,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,659,0x4159,read,sfr,0x0083,0x40,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,666,0x4153,read,sfr,0x0082,0x08,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,669,0x4159,read,sfr,0x0083,0x41,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,676,0x4153,read,sfr,0x0082,0x10,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,679,0x4159,read,sfr,0x0083,0x42,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,686,0x4153,read,sfr,0x0082,0x18,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,689,0x4159,read,sfr,0x0083,0x43,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,696,0x4153,read,sfr,0x0082,0x20,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,699,0x4159,read,sfr,0x0083,0x44,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,706,0x4153,read,sfr,0x0082,0x28,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,709,0x4159,read,sfr,0x0083,0x45,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,716,0x4153,read,sfr,0x0082,0x30,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,719,0x4159,read,sfr,0x0083,0x46,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,726,0x4153,read,sfr,0x0082,0x38,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,729,0x4159,read,sfr,0x0083,0x47,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,736,0x4153,read,sfr,0x0082,0x40,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,739,0x4159,read,sfr,0x0083,0x48,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
