candidate_addr,candidate_type,reason,referenced_by,raw_bytes_or_operands,evidence_level,confidence,notes
0x4478,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x447A,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x447D,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4488,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x448B,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x448D,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4490,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x44A3,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x44A6,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x44A8,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x44AB,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x44B9,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x44BD,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x44C2,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x44CE,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x44D4,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x44DA,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x44DD,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x44DF,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x44E2,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
