opcode,pc,function_addr,count,first_seen_run,notes
0xA4,0x5AA9,0x55AD,1,packet_bridge_seeded_context_55AD_20260428T042929Z,unsupported
0xA4,0x5AA9,0x5602,1,packet_bridge_seeded_context_5602_20260428T042930Z,unsupported
