scenario,function_addr,max_steps,steps,stop_reason,first_pc_after_loop,stop_pc,stop_opcode,unsupported_ops,sbuf_writes,uart_tx_candidates,path_notes,evidence_level
packet_bridge_loop_force_r3_01,0x5715,500,500,max_steps,0x5735,0x5AAA,ADD,0,0,0,hypothesis_forced_entry;reached_0x573C=yes;0x573C_classification=executable_nop_static_and_emulation;reaches_0x5A7F_again=no;no_sbuf_or_uart_payload_evidence,emulation_observed
packet_bridge_loop_force_djnz_exit_candidate,0x5715,500,500,max_steps,0x5735,0x5AAA,ADD,0,0,0,hypothesis_forced_entry;reached_0x573C=yes;0x573C_classification=executable_nop_static_and_emulation;reaches_0x5A7F_again=no;no_sbuf_or_uart_payload_evidence,emulation_observed
packet_bridge_loop_force_jb_not_taken_candidate,0x5715,500,500,max_steps,0x5735,0x578F,INC,0,0,0,hypothesis_forced_entry;reached_0x573C=yes;0x573C_classification=executable_nop_static_and_emulation;reaches_0x5A7F_again=no;no_sbuf_or_uart_payload_evidence,emulation_observed
