file,chain_name,chain_order,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,event_type,xdata_addr,xdata_access_type,call_type,call_target,packet_marker,notes
A03_26.PZU,A03_chain,2,0x8904,0x893C,0x8936,MOV,"DPTR,#0x329D",,0x893F,packet_marker,0x329D,write,,,selector_0x329D,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x893F,0x8936,MOVX,"@DPTR,A",,0x8940,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8940,0x8940,MOV,"DPTR,#0x3299",,0x8943,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8943,0x8940,MOV,"A,#0x01",,0x8945,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8945,0x8940,MOVX,"@DPTR,A",,0x8946,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8946,0x8940,SJMP,+35,0x896B,,call,,,SJMP,0x896B,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8959,0x8959,CJNE,"A,#0x08,+0",0x895C,0x895C,jump,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x895C,0x895C,JC,+7,0x8965,0x895E,jump,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x895E,0x895E,MOV,"DPTR,#0x3299",,0x8961,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8961,0x895E,UNK,,,0x8962,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8962,0x895E,MOVX,"@DPTR,A",,0x8963,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8963,0x895E,SJMP,+6,0x896B,,call,,,SJMP,0x896B,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8965,0x8965,MOV,"DPTR,#0x3299",,0x8968,packet_marker,0x3299,read,,,aux_0x3298_0x3299,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8968,0x8965,MOVX,"A,@DPTR",,0x8969,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x8969,0x8965,UNK,,,0x896A,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,2,0x8904,0x896A,0x8965,MOVX,"@DPTR,A",,0x896B,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A2E,0x8A2E,MOV,"R2,#0x09",,0x8A30,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A30,0x8A2E,MOV,"R3,#0x09",,0x8A32,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A32,0x8A2E,MOV,"R4,#0x00",,0x8A34,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A34,0x8A2E,MOV,"R5,#0x25",,0x8A36,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A36,0x8A2E,LCALL,0x8A5E,0x8A5E,0x8A39,call,,,LCALL,0x8A5E,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A39,0x8A2E,MOV,"DPTR,#0x329B",,0x8A3C,xdata_read,0x329B,read,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A3C,0x8A2E,MOVX,"A,@DPTR",,0x8A3D,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A3D,0x8A2E,MOV,"DPTR,#0x4FDA",,0x8A40,xdata_write,0x4FDA,write,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A40,0x8A2E,MOVX,"@DPTR,A",,0x8A41,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,3,0x8A2E,0x8A41,0x8A2E,RET,,,,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB310,0xB310,UNK,,,0xB312,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB312,0xB310,UNK,,,0xB314,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB314,0xB310,MOV,"DPTR,#0x4E49",,0xB317,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB317,0xB310,MOV,"A,R7",,0xB318,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB318,0xB310,UNK,,,0xB319,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB319,0xB310,LCALL,0x6C07,0x6C07,0xB31C,call,,,LCALL,0x6C07,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB31C,0xB310,UNK,,,0xB31E,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB31E,0xB310,MOVX,"@DPTR,A",,0xB31F,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB31F,0xB310,INC,DPTR,,0xB320,arithmetic,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB320,0xB310,UNK,,,0xB322,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB322,0xB310,MOVX,"@DPTR,A",,0xB323,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,1,0xB310,0xB323,0xB310,RET,,,,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x889F,0x889F,MOV,"DPTR,#0x4DAC",,0x88A2,packet_marker,0x4DAC,read,,,aux_0x4DAC_0x4DB6_0x4FD7_0x4FD8,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88A2,0x889F,MOVX,"A,@DPTR",,0x88A3,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88A3,0x889F,JNZ,+18,0x88B7,0x88A5,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88A5,0x88A5,MOV,"DPTR,#0x329C",,0x88A8,packet_marker,0x329C,read,,,queue_0x329C,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88A8,0x88A5,MOVX,"A,@DPTR",,0x88A9,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88A9,0x88A5,MOV,"0xF0,A",,0x88AB,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88AB,0x88A5,JNB,"0xF7,+96",0x890E,0x88AE,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88AE,0x88AE,MOV,"DPTR,#0x500C",,0x88B1,packet_marker,0x500C,read,,,packet_window_0x5003_0x5010,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88B1,0x88AE,MOVX,"A,@DPTR",,0x88B2,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88B2,0x88AE,JZ,+4,0x88B8,0x88B4,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88B4,0x88B4,JB,"0xE7,+1",0x88B8,0x88B7,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88B7,0x88B7,RET,,,,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88B8,0x88B8,MOV,"DPTR,#0x4DAC",,0x88BB,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88BB,0x88B8,MOV,"A,#0x01",,0x88BD,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88BD,0x88B8,MOVX,"@DPTR,A",,0x88BE,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88BE,0x88B8,MOV,"DPTR,#0x4DAD",,0x88C1,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88C1,0x88B8,MOV,"A,#0x02",,0x88C3,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88C3,0x88B8,MOVX,"@DPTR,A",,0x88C4,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88C4,0x88B8,MOV,"DPTR,#0x329D",,0x88C7,packet_marker,0x329D,read,,,selector_0x329D,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88C7,0x88B8,MOVX,"A,@DPTR",,0x88C8,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88C8,0x88B8,JNZ,+42,0x88F4,0x88CA,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88CA,0x88CA,MOV,"DPTR,#0x500D",,0x88CD,packet_marker,0x500D,read,,,packet_window_0x5003_0x5010,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88CD,0x88CA,MOVX,"A,@DPTR",,0x88CE,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88CE,0x88CA,CJNE,"A,#0x01,+10",0x88DB,0x88D1,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88D1,0x88D1,INC,DPTR,,0x88D2,arithmetic,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88D2,0x88D1,MOVX,"A,@DPTR",,0x88D3,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88D3,0x88D1,MOV,"DPTR,#0x32A0",,0x88D6,packet_marker,0x32A0,write,,,aux_0x32A0_0x32A1_0x32A2,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88D6,0x88D1,MOVX,"@DPTR,A",,0x88D7,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88D7,0x88D1,MOV,"DPTR,#0x32A1",,0x88DA,packet_marker,0x32A1,write,,,aux_0x32A0_0x32A1_0x32A2,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88DA,0x88D1,MOVX,"@DPTR,A",,0x88DB,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88DB,0x88DB,MOV,"DPTR,#0x329D",,0x88DE,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88DE,0x88DB,MOV,"A,#0x01",,0x88E0,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88E0,0x88DB,MOVX,"@DPTR,A",,0x88E1,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88E1,0x88DB,SJMP,+35,0x8906,,call,,,SJMP,0x8906,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88F4,0x88F4,CJNE,"A,#0x08,+0",0x88F7,0x88F7,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88F7,0x88F7,JC,+7,0x8900,0x88F9,jump,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88F9,0x88F9,MOV,"DPTR,#0x329D",,0x88FC,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88FC,0x88F9,UNK,,,0x88FD,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88FD,0x88F9,MOVX,"@DPTR,A",,0x88FE,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x88FE,0x88F9,SJMP,+6,0x8906,,call,,,SJMP,0x8906,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x8900,0x8900,MOV,"DPTR,#0x329D",,0x8903,packet_marker,0x329D,read,,,selector_0x329D,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x8903,0x8900,MOVX,"A,@DPTR",,0x8904,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x8904,0x8900,UNK,,,0x8905,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,2,0x889F,0x8905,0x8900,MOVX,"@DPTR,A",,0x8906,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89C9,0x89C9,MOV,"R2,#0x09",,0x89CB,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89CB,0x89C9,MOV,"R3,#0x09",,0x89CD,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89CD,0x89C9,MOV,"R4,#0x00",,0x89CF,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89CF,0x89C9,MOV,"R5,#0x25",,0x89D1,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89D1,0x89C9,LCALL,0x89F9,0x89F9,0x89D4,call,,,LCALL,0x89F9,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89D4,0x89C9,MOV,"DPTR,#0x329F",,0x89D7,xdata_read,0x329F,read,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89D7,0x89C9,MOVX,"A,@DPTR",,0x89D8,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89D8,0x89C9,MOV,"DPTR,#0x500F",,0x89DB,packet_marker,0x500F,write,,,packet_window_0x5003_0x5010,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89DB,0x89C9,MOVX,"@DPTR,A",,0x89DC,instruction,,,,,none,function_confidence:probable
A04_28.PZU,A04_chain,3,0x89C9,0x89DC,0x89C9,RET,,,,instruction,,,,,none,function_confidence:probable
