branch,file,function_addr,code_addr,candidate_type,score,confidence,zone_state_candidate,mode_candidate,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55B1,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x01,+27",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55D0,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-43",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55EA,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x02,+27",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5609,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-43",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5621,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x562F,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5648,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-7",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x565C,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x566A,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5683,zone_state_candidate,3.000,hypothesis,unknown,unknown,DJNZ,"R3,-6",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5696,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x56A4,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x56DE,zone_state_candidate,3.000,hypothesis,unknown,unknown,JB,"0xE0,+27",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x56EA,zone_state_candidate,3.000,hypothesis,unknown,unknown,DJNZ,"R3,-4",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5706,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x05,+2",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5729,zone_state_candidate,3.000,hypothesis,unknown,unknown,JB,"0xE0,+2",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5733,zone_state_candidate,3.000,hypothesis,unknown,unknown,DJNZ,"R3,-32",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5736,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNB,"0xE0,+3",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5748,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5766,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5774,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5792,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x579E,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57BC,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57C8,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57E6,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57F2,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5810,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58BA,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+14,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58C1,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNZ,+7,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58CB,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R2,#0x08,-23",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58D7,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+17,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58EB,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R2,#0x08,-30",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x58F8,zone_state_candidate,3.000,hypothesis,unknown,unknown,SETB,0xE7,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5905,zone_state_candidate,3.000,hypothesis,unknown,unknown,SETB,0xE0,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6140,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNZ,+7,,,0,0,1,0,,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,0x6146,zone_state_candidate,3.000,hypothesis,unknown,unknown,SETB,0xE2,,,0,1,0,0,,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x6844,zone_state_candidate,3.000,hypothesis,unknown,unknown,JB,"0xEF,-112",,,0,0,1,0,0x597F;0x5A7F;0x7922,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x738E,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x05,+12",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7395,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x03",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x739D,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x03,+12",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73A3,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73A8,zone_state_candidate,4.000,hypothesis,unknown,unknown,ORL,"A,#0x07",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73AC,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x04,+1",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73B4,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73BB,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNB,"0x14,-16",,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
