branch,file,function_addr,code_addr,state_candidate,score,confidence,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55B1,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x01,+27",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55D0,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-43",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55EA,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x02,+27",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5609,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-43",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5621,unknown_sensor_state,3.000,hypothesis,JNZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x562F,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5648,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-7",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x565C,unknown_sensor_state,3.000,hypothesis,JZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x566A,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5683,unknown_sensor_state,3.000,hypothesis,DJNZ,"R3,-6",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
