file,target_function,direction,neighbor_function,call_addr,call_type,neighbor_role_candidate,neighbor_basic_block_count,neighbor_internal_block_count,neighbor_xdata_read_count,neighbor_xdata_write_count,neighbor_movc_count,packet_xdata_hits,queue_hits,selector_hits,snapshot_hits,object_table_hits,confidence,notes
A03_26.PZU,0x8904,outgoing,0x8A2E,0x89B9,LCALL,unknown,1,0,1,1,0,0,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A03_26.PZU,0x8904,outgoing,0x8A42,0x89CE,LCALL,unknown,1,0,0,0,0,0,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A03_26.PZU,0x8904,target,0x8904,0x8904,self,dispatcher_or_router,34,33,15,2,0,0,1,1,0,0,high,"target node; aux_hits=0x3298,0x3299,0x4DB6,0x4FD7,0x4FD8; checksum_like=unknown"
A04_28.PZU,0x889F,conditional_branch,0x88B7,0x889F,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,probable,fallthrough=0x88A5; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x890E,0x88A5,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x88AE; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x88B8,0x88AE,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x88B4; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x88B8,0x88B4,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x88B7; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x88F4,0x88B8,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x88CA; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x88DB,0x88CA,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x88D1; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x88F7,0x88F4,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x88F7; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8900,0x88F7,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x88F9; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8919,0x890E,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x8914; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8927,0x8919,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x891C; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x893C,0x891C,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x891F; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8951,0x891F,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x8922; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8966,0x8922,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,unknown,fallthrough=0x8925; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8936,0x8927,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x892A; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x894B,0x893C,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x893F; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,conditional_branch,0x8960,0x8951,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x8954; parent=0x889F; checksum_like=unknown
