file,branch,code_addr,dptr_addr,evidence_type,next_bytes,confidence
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA905,0x76E8,code_table_or_string_candidate,93,medium
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA927,0x76F8,code_table_or_string_candidate,93,medium
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA97C,0x76F8,code_table_or_string_candidate,93,medium
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA9AD,0x76D5,code_table_or_string_candidate,93,medium
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA9E4,0x76F8,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x59F3,0x599D,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x5A0B,0x5999,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x61DA,0x62CF,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x61F6,0x62CF,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x654F,0x6530,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x6D65,0x6D3A,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x6DCD,0x6D75,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x6E17,0x6DE4,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x6E79,0x6DDD,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x7397,0x7378,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x75C7,0x75B0,code_table_or_string_candidate,93,medium
90CYE04_19_DKS.PZU,90CYE_DKS,0x7E1D,0x7E03,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x6CE7,0x6C74,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x7777,0x7758,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x794B,0x793A,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x799F,0x793A,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x7EEC,0x7E97,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x7F84,0x7EFC,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x7FF0,0x7F9C,code_table_or_string_candidate,93,medium
A03_26.PZU,A03_A04,0x8094,0x7F94,code_table_or_string_candidate,93,medium
