branch,file,chain_rank,caller_function,core_function,callee_function,caller_role,core_role,callee_role,chain_score,address_range_hits,loop_like_hits,bit_operation_hits,xdata_read_count,xdata_write_count,event_queue_hits,packet_export_hits,table_movc_hits,string_refs,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,2,0x84A6,0x737C,0x84A6,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,15.600,0,41,102,23,6,326,326,1,,medium,selected as top-ranked chain; no exact dispatcher+core priority pair in chain; selected by top score
90CYE_DKS,90CYE03_19_DKS.PZU,4,0x7017,0x84A6,0x737C,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,15.600,0,42,140,34,9,388,388,1,,medium,selected as top-ranked chain; no exact dispatcher+core priority pair in chain; selected by top score
90CYE_DKS,90CYE03_19_DKS.PZU,6,0x737C,0x84A6,0x7017,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,15.600,0,42,140,34,9,388,388,1,,medium,selected as top-ranked chain; no exact dispatcher+core priority pair in chain; selected by top score
90CYE_DKS,90CYE03_19_DKS.PZU,7,0x737C,0x84A6,0x737C,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,15.600,0,55,159,28,12,427,427,2,,medium,selected as top-ranked chain; no exact dispatcher+core priority pair in chain; selected by top score
90CYE_DKS,90CYE03_19_DKS.PZU,8,0x737C,0x84A6,0x728A,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,15.600,0,38,126,22,10,355,355,1,,medium,selected as top-ranked chain; no exact dispatcher+core priority pair in chain; selected by top score
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,61,0x497F,0x8A42,0x7574,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,12.000,1,71,278,16,9,411,685,0,,medium,selected as top-ranked chain
A03_A04,A03_26.PZU,101,0x497A,0xA900,0x800B,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,14.300,0,85,264,21,7,567,666,1,,medium,selected as top-ranked chain
RTOS_service,ppkp2001 90cye01.PZU,117,0xAB62,0xAB62,0x758B,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,16.300,13,289,393,88,6,1170,1170,1,,confirmed,selected as top-ranked chain; no exact dispatcher+core priority pair in chain; selected by top score
