file,branch,code_addr,call_type,target_addr
A04_28.PZU,A03_A04,0x8BA7,LCALL,0x6F7C
A04_28.PZU,A03_A04,0x8BAF,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8BB2,LCALL,0x67EB
A04_28.PZU,A03_A04,0x8BB9,LCALL,0x6E89
A04_28.PZU,A03_A04,0x8BBC,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8BC0,LCALL,0x6D2C
A04_28.PZU,A03_A04,0x8BC9,LCALL,0x6E89
A04_28.PZU,A03_A04,0x8BD8,LCALL,0x7012
A04_28.PZU,A03_A04,0x8BDA,LCALL,0x742E
A04_28.PZU,A03_A04,0x8BDD,LCALL,0x6FB8
A04_28.PZU,A03_A04,0x8BE2,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8BE5,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8BF0,LCALL,0x6C11
A04_28.PZU,A03_A04,0x8BF3,LCALL,0x67D4
A04_28.PZU,A03_A04,0x8BFC,LCALL,0x6E89
A04_28.PZU,A03_A04,0x8C03,LJMP,0x66FC
A04_28.PZU,A03_A04,0x8C0A,LJMP,0x66FC
A04_28.PZU,A03_A04,0x8C12,LCALL,0x6E89
A04_28.PZU,A03_A04,0x8C1B,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8C20,LCALL,0x6F8F
A04_28.PZU,A03_A04,0x8CA9,LCALL,0x6FB2
A04_28.PZU,A03_A04,0x8CAF,LCALL,0x9462
A04_28.PZU,A03_A04,0x8CB5,LCALL,0x6E85
A04_28.PZU,A03_A04,0x8CBA,LCALL,0x6F8F
A04_28.PZU,A03_A04,0x8CC2,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8CC5,LCALL,0x67EB
A04_28.PZU,A03_A04,0x8CCC,LCALL,0x6E89
A04_28.PZU,A03_A04,0x8CD0,LJMP,0x6D2C
A04_28.PZU,A03_A04,0x8CD3,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8CD7,LCALL,0x6D37
A04_28.PZU,A03_A04,0x8CDA,LCALL,0x6F7C
A04_28.PZU,A03_A04,0x8CDF,LCALL,0x6E86
A04_28.PZU,A03_A04,0x8CEA,LCALL,0x6C11
A04_28.PZU,A03_A04,0x8CED,LJMP,0x8D1C
A04_28.PZU,A03_A04,0x8CF0,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8CF4,LCALL,0x6D37
A04_28.PZU,A03_A04,0x8CF7,LCALL,0x6F7C
A04_28.PZU,A03_A04,0x8CFC,LCALL,0x6E86
A04_28.PZU,A03_A04,0x8D07,LCALL,0x6C11
A04_28.PZU,A03_A04,0x8D0A,LJMP,0x8D1C
A04_28.PZU,A03_A04,0x8D0D,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8D11,LJMP,0x6D2C
A04_28.PZU,A03_A04,0x8D19,LJMP,0x687B
A04_28.PZU,A03_A04,0x8D2B,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8D30,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8D40,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8D44,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8D4C,LCALL,0x6FB6
A04_28.PZU,A03_A04,0x8D50,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8D57,LCALL,0x6FB8
A04_28.PZU,A03_A04,0x8D5F,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8D68,LCALL,0x6FDB
A04_28.PZU,A03_A04,0x8D6D,LCALL,0x6F83
A04_28.PZU,A03_A04,0x8D77,LJMP,0x66FC
A04_28.PZU,A03_A04,0x8DB1,LJMP,0x8DF3
A04_28.PZU,A03_A04,0x8DBF,LJMP,0x7405
A04_28.PZU,A03_A04,0x8DC7,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8DDB,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8DF6,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8E0C,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8E55,LCALL,0x6A71
A04_28.PZU,A03_A04,0x8E80,LCALL,0x6A7D
A04_28.PZU,A03_A04,0x8EB5,LCALL,0x67BE
A04_28.PZU,A03_A04,0x8EB8,LCALL,0x6C61
A04_28.PZU,A03_A04,0x8EBB,LCALL,0x6813
A04_28.PZU,A03_A04,0x8EC4,LJMP,0x8708
A04_28.PZU,A03_A04,0x8EE5,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8EF1,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8F16,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8F55,LCALL,0x6B14
A04_28.PZU,A03_A04,0x8F7A,LCALL,0x687B
A04_28.PZU,A03_A04,0x8F85,LCALL,0x6C07
