file,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_type,call_target,notes
A03_26.PZU,0x8904,0x8992,0x898F,MOV,"DPTR,#0x3298",,0x8995,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x8995,0x898F,MOVX,"A,@DPTR",,0x8996,,,,,
A03_26.PZU,0x8904,0x8996,0x898F,CLR,0xE0,,0x8998,,,,,
A03_26.PZU,0x8904,0x8998,0x898F,MOVX,"@DPTR,A",,0x8999,,,,,
A03_26.PZU,0x8904,0x8999,0x898F,SJMP,+69,0x89E0,,,,SJMP,0x89E0,
A03_26.PZU,0x8904,0x899B,0x899B,MOV,"DPTR,#0x3299",,0x899E,,,,,
A03_26.PZU,0x8904,0x899E,0x899B,MOV,"A,#0x02",,0x89A0,,,,,
A03_26.PZU,0x8904,0x89A0,0x899B,MOVX,"@DPTR,A",,0x89A1,,,,,
A03_26.PZU,0x8904,0x89A1,0x89A1,JNB,"0xF1,+12",0x89B0,0x89A4,,,,,
A03_26.PZU,0x8904,0x89A4,0x89A4,LCALL,0x8A16,0x8A16,0x89A7,,,LCALL,0x8A16,
A03_26.PZU,0x8904,0x89A7,0x89A4,MOV,"DPTR,#0x3298",,0x89AA,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x89AA,0x89A4,MOVX,"A,@DPTR",,0x89AB,,,,,
A03_26.PZU,0x8904,0x89AB,0x89A4,CLR,0xE1,,0x89AD,,,,,
A03_26.PZU,0x8904,0x89AD,0x89A4,MOVX,"@DPTR,A",,0x89AE,,,,,
A03_26.PZU,0x8904,0x89AE,0x89A4,SJMP,+48,0x89E0,,,,SJMP,0x89E0,
A03_26.PZU,0x8904,0x89B0,0x89B0,MOV,"DPTR,#0x3299",,0x89B3,,,,,
A03_26.PZU,0x8904,0x89B3,0x89B0,MOV,"A,#0x04",,0x89B5,,,,,
A03_26.PZU,0x8904,0x89B5,0x89B0,MOVX,"@DPTR,A",,0x89B6,,,,,
A03_26.PZU,0x8904,0x89B6,0x89B6,JNB,"0xF2,+12",0x89C5,0x89B9,,,,,
A03_26.PZU,0x8904,0x89B9,0x89B9,LCALL,0x8A2E,0x8A2E,0x89BC,,,LCALL,0x8A2E,
A03_26.PZU,0x8904,0x89BC,0x89B9,MOV,"DPTR,#0x3298",,0x89BF,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x89BF,0x89B9,MOVX,"A,@DPTR",,0x89C0,,,,,
A03_26.PZU,0x8904,0x89C0,0x89B9,CLR,0xE2,,0x89C2,,,,,
A03_26.PZU,0x8904,0x89C2,0x89B9,MOVX,"@DPTR,A",,0x89C3,,,,,
A03_26.PZU,0x8904,0x89C3,0x89B9,SJMP,+27,0x89E0,,,,SJMP,0x89E0,
A03_26.PZU,0x8904,0x89C5,0x89C5,MOV,"DPTR,#0x3299",,0x89C8,,,,,
A03_26.PZU,0x8904,0x89C8,0x89C5,MOV,"A,#0x08",,0x89CA,,,,,
A03_26.PZU,0x8904,0x89CA,0x89C5,MOVX,"@DPTR,A",,0x89CB,,,,,
A03_26.PZU,0x8904,0x89CB,0x89CB,JNB,"0xF3,+12",0x89DA,0x89CE,,,,,
A03_26.PZU,0x8904,0x89CE,0x89CE,LCALL,0x8A42,0x8A42,0x89D1,,,LCALL,0x8A42,
A03_26.PZU,0x8904,0x89D1,0x89CE,MOV,"DPTR,#0x3298",,0x89D4,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x89D4,0x89CE,MOVX,"A,@DPTR",,0x89D5,,,,,
A03_26.PZU,0x8904,0x89D5,0x89CE,CLR,0xE3,,0x89D7,,,,,
A03_26.PZU,0x8904,0x89D7,0x89CE,MOVX,"@DPTR,A",,0x89D8,,,,,
A03_26.PZU,0x8904,0x89D8,0x89CE,SJMP,+6,0x89E0,,,,SJMP,0x89E0,
