branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,conditional_branch_count,bit_operation_count,output_marker_hits,control_action_hits,event_input_hits,packet_export_hits,related_calls,notes
90CYE_DKS,90CYE04_19_DKS.PZU,0x737C,output_module_dispatcher_candidate,6.550,low,dispatcher_or_router,33,32,1,20,11,6,1,,15,10,0,1,0,1,0x597F|0x5A7F|0x5AA3|0x73BA|0x74C0|0x848E|0x84A6,module:МАШ (address loop)/address-loop sub-dispatch + writes; xdata:0x3010; xdata:0x3011; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x301A; xdata:0x301B
90CYE_DKS,90CYE04_19_DKS.PZU,0x5EDC,output_module_dispatcher_candidate,4.660,hypothesis,dispatcher_or_router,40,39,1,13,13,2,0,,23,3,0,1,0,0,0x5EE3|0x5F35|0x5F4B|0x5F6B|0x5FA6|0x5FE0|0x5FE8|0x848E,xdata:0x30A0; xdata:0x30E2; xdata:0x30EE; xdata:0x3612; xdata:0x3613; xdata:0x361A; xdata:0x361B; xdata:0x361C
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x497F,output_module_dispatcher_candidate,47.180,medium,dispatcher_or_router,49,48,0,85,8,9,0,.COCT.  ascii_only | 90CYE02_27                ascii_only | C PACX.  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only,26,475,13,1,495,686,0x5D62|0x5DFF|0x604B|0x6060|0x6070|0x607B|0x6083|0x6106|0x61CD|0x64C8,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3193; xdata:0x3197; xdata:0x3199; xdata:0x319B; xdata:0x319F
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7574,output_module_dispatcher_candidate,17.280,medium,dispatcher_or_router,22,21,1,22,3,0,0,,11,352,0,1,433,686,0x604A|0x604B|0x607B|0x60B5|0x6331|0x767A|0x76D1|0x76E4|0x76FF|0x7FB8,module:МАШ (address loop)/address-loop dispatcher; xdata:0x0001; xdata:0x318E
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x8A42,output_module_dispatcher_candidate,16.160,medium,dispatcher_or_router,14,13,1,21,9,0,0,,7,295,0,0,432,686,0x604B|0x6106|0x729E|0x72E4|0x745A|0x7574|0x774F|0x7A0F|0x7A3D|0x7AB8,xdata:0x0A76; xdata:0x0C82; xdata:0x30A3; xdata:0x3103; xdata:0x4442; xdata:0x4575; xdata:0x457B; xdata:0x46E8
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,actuator_feedback_candidate,8.370,low,state_update_worker,3,2,1,0,52,25,2,,1,1,0,1,0,1,,xdata:0x30A4; xdata:0x30A5; xdata:0x30B0; xdata:0x30B1; xdata:0x30B2; xdata:0x30CE; xdata:0x3103; xdata:0x3104
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x774F,output_module_dispatcher_candidate,5.390,hypothesis,dispatcher_or_router,17,16,1,11,15,8,0,,7,2,0,1,0,1,0x604B|0x607B|0x6331|0x7851|0x7866,module:МАС (analog)/state comparator/event writer; xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x301C; xdata:0x301D; xdata:0x301E; xdata:0x301F
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7E49,output_module_dispatcher_candidate,4.650,hypothesis,dispatcher_or_router,35,34,1,14,15,1,0,,17,6,0,1,0,1,0x7EA9|0x7F18|0x7F1E|0x7F2C|0x7F3C|0x7F54|0x7F6C|0x7F80,xdata:0x30CE; xdata:0x30CF; xdata:0x3103; xdata:0x318C; xdata:0x45A5; xdata:0x45A6
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x6DCB,actuator_feedback_candidate,4.500,hypothesis,state_update_worker,1,0,1,2,24,9,1,,0,0,0,1,0,0,0x72C6|0x72D5,xdata:0x30A4; xdata:0x30B2; xdata:0x30C8; xdata:0x30CD; xdata:0x3103; xdata:0x3104; xdata:0x312D; xdata:0x31D1
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x497F,output_module_dispatcher_candidate,52.230,medium,dispatcher_or_router,64,63,0,93,13,9,0,(CEK)  ascii_only | .COCT.  ascii_only | 90CYE03                   ascii_only | CT.PACX.  ascii_only | CTAHOBKA  ascii_only,35,7,22,1,0,1,0x6EEA|0x6F8A|0x72AC|0x72C1|0x72C8|0x72D1|0x72DC|0x72E4|0x7316|0x734F,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
