reference_file,reference_function,a03_file,a03_function,similarity_score,role_candidate,basic_block_count,internal_block_count,call_count,incoming_lcalls,xdata_read_count,xdata_write_count,arithmetic_hits,a03_pipeline_hits,near_known_a03_chain,confidence,notes
A04_28.PZU,0x497A,A03_26.PZU,0xA248,4.25,unknown,1,0,0,1,1,0,1,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x680C,4.00,unknown,1,0,0,1,0,0,1,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x89EE,4.00,unknown,1,0,1,1,0,0,1,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8A42,4.00,unknown,1,0,2,1,0,0,1,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8F9D,4.00,unknown,3,2,0,1,0,0,1,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x9EEC,4.00,unknown,2,1,8,2,1,0,2,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x4176,3.75,state_reader_or_packet_builder,7,6,1,0,5,0,10,0,no,unknown,arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6834,3.75,unknown,1,0,0,2,0,0,1,0,yes,unknown,chain_distance=1; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x80C3,3.75,state_update_worker,9,8,0,1,5,3,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6913,3.50,unknown,1,0,0,4,0,0,2,0,yes,unknown,chain_distance=1; incoming_lcall_xref=4; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8A5E,3.50,unknown,1,0,0,5,0,0,6,0,yes,unknown,chain_distance=1; incoming_lcall_xref=5; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x9FD8,3.50,state_reader_or_packet_builder,3,2,8,13,4,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=13; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x68F9,3.25,unknown,1,0,0,1,1,0,4,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6BA5,3.25,unknown,7,6,1,1,2,0,7,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6C3C,3.25,unknown,10,9,1,1,1,0,4,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8F0F,3.25,unknown,1,0,4,1,2,1,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8FAF,3.25,unknown,5,4,1,1,2,1,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x94CE,3.25,unknown,2,1,1,1,1,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x67E8,3.00,unknown,1,0,1,1,0,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6824,3.00,unknown,1,0,0,1,0,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x6A15,3.00,unknown,1,0,0,1,0,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6B99,3.00,unknown,1,0,0,1,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6BA2,3.00,unknown,1,0,0,1,0,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x6C21,3.00,unknown,1,0,0,1,0,0,3,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x89FE,3.00,unknown,1,0,2,1,0,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x8A16,3.00,unknown,1,0,2,1,0,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x8E92,3.00,unknown,3,2,0,1,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8F01,3.00,unknown,4,3,0,1,0,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8F5B,3.00,unknown,6,5,2,2,1,0,4,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8FCC,3.00,unknown,3,2,0,2,1,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x93B4,3.00,unknown,7,6,1,1,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x942A,3.00,unknown,1,0,2,2,1,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x9481,3.00,unknown,3,2,0,2,1,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x67C3,2.75,unknown,3,2,0,2,0,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x68E6,2.75,unknown,1,0,0,3,0,0,6,0,yes,unknown,chain_distance=2; incoming_lcall_xref=3; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x692E,2.75,unknown,1,0,0,2,0,0,4,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6B3A,2.75,unknown,3,2,0,3,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=3; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6B96,2.75,unknown,1,0,0,2,0,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x8EF3,2.75,unknown,5,4,0,3,0,0,1,0,yes,unknown,chain_distance=2; incoming_lcall_xref=3; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x8F80,2.75,unknown,3,2,1,2,0,0,4,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x41D0,2.50,unknown,3,2,1,0,1,0,3,0,no,unknown,arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x492E,2.50,unknown,3,2,0,0,1,0,3,0,no,unknown,arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x4954,2.50,unknown,3,2,0,0,1,0,3,0,no,unknown,arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x693B,2.50,unknown,1,0,0,4,0,0,6,0,yes,unknown,chain_distance=2; incoming_lcall_xref=4; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6AE9,2.50,unknown,2,1,0,5,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=5; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6B22,2.50,unknown,2,1,0,6,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=6; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6D38,2.50,unknown,1,0,0,4,0,0,0,0,yes,unknown,chain_distance=1; incoming_lcall_xref=4
A04_28.PZU,0x497A,A03_26.PZU,0x683F,2.25,unknown,1,0,0,20,0,0,8,0,yes,unknown,chain_distance=2; incoming_lcall_xref=20; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x691A,2.25,unknown,1,0,0,18,0,0,2,0,yes,unknown,chain_distance=2; incoming_lcall_xref=18; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x694E,2.25,unknown,1,0,0,17,0,0,8,0,yes,unknown,chain_distance=2; incoming_lcall_xref=17; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6D8D,2.25,state_reader_or_packet_builder,3,2,2,1,3,0,0,0,no,unknown,incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x6DC7,2.25,unknown,1,0,1,1,1,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0xA26E,2.25,unknown,1,0,16,1,1,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0xA2F5,2.25,state_update_worker,1,0,16,1,23,3,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x67CA,2.00,unknown,1,0,0,1,0,0,1,0,no,unknown,incoming_lcall_xref=1; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x6990,2.00,unknown,1,0,0,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x69AC,2.00,unknown,1,0,1,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x6B58,2.00,unknown,1,0,0,2,2,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x6D56,2.00,unknown,2,1,1,2,1,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x6D6F,2.00,unknown,1,0,1,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x6D7E,2.00,unknown,1,0,1,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x708A,2.00,unknown,1,0,0,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x9424,2.00,unknown,3,2,0,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x9F29,2.00,unknown,1,0,0,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x9F34,2.00,unknown,1,0,0,1,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x7339,1.75,state_update_worker,3,2,1,1,39,16,0,5,no,unknown,incoming_lcall_xref=1; pipeline_xdata_hit
A04_28.PZU,0x497A,A03_26.PZU,0x67D9,1.75,unknown,1,0,0,2,0,0,1,0,no,unknown,incoming_lcall_xref=2; arith_present
A04_28.PZU,0x497A,A03_26.PZU,0x69C6,1.75,unknown,3,2,1,3,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=3
A04_28.PZU,0x497A,A03_26.PZU,0x6B0F,1.75,unknown,1,0,3,2,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x6D2D,1.75,unknown,1,0,0,2,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x6D83,1.75,unknown,1,0,1,3,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=3
A04_28.PZU,0x497A,A03_26.PZU,0x7099,1.75,unknown,1,0,1,2,0,1,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x948C,1.75,unknown,1,0,1,2,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x69A3,1.50,unknown,1,0,1,6,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=6
A04_28.PZU,0x497A,A03_26.PZU,0x69CE,1.50,unknown,1,0,1,5,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=5
A04_28.PZU,0x497A,A03_26.PZU,0x6D5D,1.50,unknown,2,1,0,5,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=5
A04_28.PZU,0x497A,A03_26.PZU,0xA241,1.50,unknown,1,0,0,13,1,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=13
A04_28.PZU,0x497A,A03_26.PZU,0x6D2E,1.25,unknown,1,0,0,33,0,0,0,0,yes,unknown,chain_distance=2; incoming_lcall_xref=33
A04_28.PZU,0x497A,A03_26.PZU,0x8A2E,1.25,unknown,1,0,1,1,1,1,0,0,yes,unknown,chain_distance=0; incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x41E8,1.00,unknown,3,2,3,1,0,0,0,0,no,unknown,incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x6991,1.00,unknown,1,0,1,1,0,0,0,0,no,unknown,incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x69B7,1.00,unknown,1,0,0,1,0,0,0,0,no,unknown,incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x941F,1.00,unknown,3,2,0,1,0,0,0,0,no,unknown,incoming_lcall_xref=1
A04_28.PZU,0x497A,A03_26.PZU,0x699C,0.75,unknown,1,0,0,2,0,0,0,0,no,unknown,incoming_lcall_xref=2
A04_28.PZU,0x497A,A03_26.PZU,0x6A06,0.75,unknown,1,0,0,3,0,0,0,0,no,unknown,incoming_lcall_xref=3
A04_28.PZU,0x497A,A03_26.PZU,0x6D88,0.75,unknown,1,0,1,3,0,0,0,0,no,unknown,incoming_lcall_xref=3
A04_28.PZU,0x89C9,A03_26.PZU,0x89EE,9.25,unknown,1,0,1,1,0,0,1,0,yes,probable,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0xA248,9.25,unknown,1,0,0,1,1,0,1,0,yes,probable,chain_distance=1; incoming_lcall_xref=1; arith_present
