branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,call_hub_score,writer_score,reader_score,table_score,notes
RTOS_service,ppkp2001 90cye01.PZU,0xA3FD,dispatcher_candidate,18.814,medium,dispatcher_or_router,154,153,1,70,5,0,7,1,1,6.487,30.288,27.913,15.088,global branch-wide score; no A03/A04-only address assumptions
RTOS_service,ppkp2012 a01.PZU,0xB606,dispatcher_candidate,15.931,medium,dispatcher_or_router,41,40,1,46,11,4,0,0,3,19.087,14.062,17.225,7.212,global branch-wide score; no A03/A04-only address assumptions
RTOS_service,ppkp2001 90cye01.PZU,0x758B,packet_service_candidate,66.591,medium,dispatcher_or_router,341,340,1,127,66,2,4,1,19,7.500,68.787,99.288,22.062,service/packet worker ranking
RTOS_service,ppkp2012 a01.PZU,0x5436,packet_service_candidate,58.385,medium,dispatcher_or_router,17,16,2,13,144,39,1,1,135,8.338,55.975,122.463,3.388,service/packet worker ranking
RTOS_service,ppkp2001 90cye01.PZU,0x53E6,packet_service_candidate,57.952,medium,dispatcher_or_router,17,16,2,13,144,36,1,1,137,8.338,54.288,122.763,3.388,service/packet worker ranking
RTOS_service,ppkp2012 a01.PZU,0x75F7,packet_service_candidate,56.716,medium,dispatcher_or_router,262,261,1,91,87,1,2,1,0,6.150,49.087,98.388,15.613,service/packet worker ranking
RTOS_service,ppkp2019 a02.PZU,0x57DB,packet_service_candidate,46.534,medium,dispatcher_or_router,17,16,2,13,119,27,4,4,92,8.338,39.662,98.825,6.763,service/packet worker ranking
RTOS_service,ppkp2012 a01.PZU,0xAB52,packet_service_candidate,27.162,medium,dispatcher_or_router,154,153,1,75,5,0,13,1,1,6.675,30.787,28.413,18.988,service/packet worker ranking
RTOS_service,ppkp2001 90cye01.PZU,0xA3FD,packet_service_candidate,26.083,medium,dispatcher_or_router,154,153,1,70,5,0,7,1,1,6.487,30.288,27.913,15.088,service/packet worker ranking
RTOS_service,ppkp2019 a02.PZU,0x7A32,packet_service_candidate,20.566,medium,dispatcher_or_router,79,78,1,24,39,2,3,3,0,2.638,15.625,38.100,6.975,service/packet worker ranking
RTOS_service,ppkp2001 90cye01.PZU,0x758B,xdata_writer_candidate,68.787,medium,dispatcher_or_router,341,340,1,127,66,2,4,1,19,7.500,68.787,99.288,22.062,writer-like behavior from global features
RTOS_service,ppkp2012 a01.PZU,0x5436,xdata_writer_candidate,55.975,medium,dispatcher_or_router,17,16,2,13,144,39,1,1,135,8.338,55.975,122.463,3.388,writer-like behavior from global features
RTOS_service,ppkp2001 90cye01.PZU,0x53E6,xdata_writer_candidate,54.288,medium,dispatcher_or_router,17,16,2,13,144,36,1,1,137,8.338,54.288,122.763,3.388,writer-like behavior from global features
RTOS_service,ppkp2012 a01.PZU,0x75F7,xdata_writer_candidate,49.087,medium,dispatcher_or_router,262,261,1,91,87,1,2,1,0,6.150,49.087,98.388,15.613,writer-like behavior from global features
RTOS_service,ppkp2019 a02.PZU,0x57DB,xdata_writer_candidate,39.662,medium,dispatcher_or_router,17,16,2,13,119,27,4,4,92,8.338,39.662,98.825,6.763,writer-like behavior from global features
RTOS_service,ppkp2012 a01.PZU,0xAB52,xdata_writer_candidate,30.787,medium,dispatcher_or_router,154,153,1,75,5,0,13,1,1,6.675,30.787,28.413,18.988,writer-like behavior from global features
RTOS_service,ppkp2001 90cye01.PZU,0xA3FD,xdata_writer_candidate,30.288,medium,dispatcher_or_router,154,153,1,70,5,0,7,1,1,6.487,30.288,27.913,15.088,writer-like behavior from global features
RTOS_service,ppkp2019 a02.PZU,0xA9C5,xdata_writer_candidate,21.188,medium,dispatcher_or_router,106,105,1,51,4,0,7,1,1,5.775,21.188,19.925,12.237,writer-like behavior from global features
RTOS_service,ppkp2001 90cye01.PZU,0x53E6,xdata_reader_candidate,122.763,medium,dispatcher_or_router,17,16,2,13,144,36,1,1,137,8.338,54.288,122.763,3.388,reader-like behavior from global features
RTOS_service,ppkp2012 a01.PZU,0x5436,xdata_reader_candidate,122.463,medium,dispatcher_or_router,17,16,2,13,144,39,1,1,135,8.338,55.975,122.463,3.388,reader-like behavior from global features
RTOS_service,ppkp2001 90cye01.PZU,0x758B,xdata_reader_candidate,99.288,medium,dispatcher_or_router,341,340,1,127,66,2,4,1,19,7.500,68.787,99.288,22.062,reader-like behavior from global features
RTOS_service,ppkp2019 a02.PZU,0x57DB,xdata_reader_candidate,98.825,medium,dispatcher_or_router,17,16,2,13,119,27,4,4,92,8.338,39.662,98.825,6.763,reader-like behavior from global features
