branch,file,function_addr,action_candidate,score,confidence,xdata_reads,xdata_writes,related_mode_function,related_packet_function,possible_physical_action,notes
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x90B6,unknown_output_action,5.270,hypothesis,12,1,-,0x5A7F,unknown,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9F46,unknown_output_action,4.650,hypothesis,36,6,-,0x5A7F,unknown,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x497F,unknown_output_action,52.230,medium,13,9,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x90B6,unknown_output_action,5.270,hypothesis,12,1,-,0x5A7F,unknown,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9F46,unknown_output_action,4.650,hypothesis,36,6,-,0x5A7F,unknown,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
A03_A04,A03_26.PZU,0x497A,unknown_output_action,56.300,medium,8,5,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x4E54; xdata:0x4FCE; xdata:0x4FCF; xdata:0x4FD0; xdata:0x50F9
A03_A04,A03_26.PZU,0xA900,unknown_output_action,17.360,medium,14,0,-,0x5A7F,unknown,xdata:0x30AE; xdata:0x30AF; xdata:0x328C; xdata:0x329C; xdata:0x4DB7; xdata:0x4E9F; xdata:0x4FCE; xdata:0x4FCF
A03_A04,A03_26.PZU,0x800B,unknown_output_action,16.760,medium,4,2,-,0x5A7F,unknown,module:МАШ (address loop)/module scan worker / table-driven path; xdata:0x3290; xdata:0x3291; xdata:0x3293; xdata:0x3295; xdata:0x329E
A03_A04,A03_26.PZU,0x7339,unknown_output_action,9.170,low,39,16,-,0x5A7F,unknown,xdata:0x30D8; xdata:0x3281; xdata:0x3282; xdata:0x3291; xdata:0x3292; xdata:0x3293; xdata:0x3298; xdata:0x329C
A03_A04,A03_26.PZU,0x7953,unknown_output_action,6.960,low,22,6,-,0x5A7F,unknown,xdata:0x3281; xdata:0x3286; xdata:0x3288; xdata:0x328B; xdata:0x328F; xdata:0x3293; xdata:0x329C; xdata:0x329E
A03_A04,A03_26.PZU,0x8904,unknown_output_action,4.950,hypothesis,15,2,-,0x5A7F,unknown,module:МАШ (address loop)/state update + event writeback; xdata:0x3298; xdata:0x3299; xdata:0x329C; xdata:0x329D; xdata:0x4DB6; xdata:0x4FD7; xdata:0x4FD8
A03_A04,A04_28.PZU,0x497A,unknown_output_action,45.450,medium,8,5,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x4EA9; xdata:0x5003; xdata:0x5004; xdata:0x5005; xdata:0x512E
A03_A04,A04_28.PZU,0x722E,unknown_output_action,12.370,medium,61,22,-,0x5A7F,unknown,module:МАС (analog)/analog/state compare worker; xdata:0x30D8; xdata:0x3281; xdata:0x3282; xdata:0x3286; xdata:0x3288; xdata:0x328B; xdata:0x328D
A03_A04,A04_28.PZU,0x889F,unknown_output_action,4.950,hypothesis,15,2,-,0x5A7F,unknown,xdata:0x329C; xdata:0x329D; xdata:0x32A0; xdata:0x32A1; xdata:0x4DAC; xdata:0x500C; xdata:0x500D
RTOS_service,ppkp2001 90cye01.PZU,0x9C99,unknown_output_action,22.160,medium,0,0,-,0x5A7F,unknown,
RTOS_service,ppkp2001 90cye01.PZU,0x758B,unknown_output_action,19.400,medium,66,2,-,0x5A7F,unknown,module:МАШ (address loop)/rtos poll scheduler / dispatcher; xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x3015; xdata:0x3016; xdata:0x3017
RTOS_service,ppkp2001 90cye01.PZU,0xAB62,unknown_output_action,17.880,medium,11,2,-,0x5A7F,unknown,xdata:0x6408; xdata:0x6423; xdata:0x6433; xdata:0x66C3; xdata:0x66C6; xdata:0x66EA; xdata:0x75B1; xdata:0x78E2
RTOS_service,ppkp2001 90cye01.PZU,0x53E6,unknown_output_action,16.750,medium,144,36,-,0x5A7F,unknown,xdata:0x6419; xdata:0x641A; xdata:0x641B; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x6421; xdata:0x6423
RTOS_service,ppkp2001 90cye01.PZU,0x9407,unknown_output_action,15.580,medium,36,7,-,0x5A7F,unknown,xdata:0x0A76; xdata:0x0C82; xdata:0x53A3; xdata:0x6480; xdata:0x66C4; xdata:0x66C6; xdata:0x66C7; xdata:0x66E4
RTOS_service,ppkp2001 90cye01.PZU,0xA3FD,unknown_output_action,7.630,low,5,0,-,0x5A7F,unknown,module:МАШ (address loop)/loop dispatcher with service integration; xdata:0x6408; xdata:0x66E8; xdata:0x67C0; xdata:0x67C5
RTOS_service,ppkp2012 a01.PZU,0xA364,unknown_output_action,22.160,medium,0,0,-,0x5A7F,unknown,
RTOS_service,ppkp2012 a01.PZU,0x5436,unknown_output_action,20.750,medium,144,39,-,0x5A7F,unknown,xdata:0x6419; xdata:0x641A; xdata:0x641B; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x6421; xdata:0x6423
RTOS_service,ppkp2012 a01.PZU,0xAB52,unknown_output_action,9.030,low,5,0,-,0x5A7F,unknown,xdata:0x6408; xdata:0x66EB; xdata:0x67C3; xdata:0x67CC
RTOS_service,ppkp2012 a01.PZU,0x75F7,unknown_output_action,7.370,low,87,1,-,0x5A7F,unknown,xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x3015; xdata:0x3016; xdata:0x3017; xdata:0x3018
RTOS_service,ppkp2012 a01.PZU,0x8216,unknown_output_action,5.500,hypothesis,9,10,-,0x5A7F,unknown,xdata:0x3000; xdata:0x6419; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x6479; xdata:0x647A; xdata:0x66E3
RTOS_service,ppkp2012 a01.PZU,0x9B4F,unknown_output_action,5.280,hypothesis,35,6,-,0x5A7F,unknown,xdata:0x0A76; xdata:0x0C82; xdata:0x6477; xdata:0x66BB; xdata:0x66BD; xdata:0x66BE; xdata:0x66DB; xdata:0x66EB
RTOS_service,ppkp2012 a01.PZU,0xB606,unknown_output_action,4.720,hypothesis,11,4,-,0x5A7F,unknown,xdata:0x6408; xdata:0x6423; xdata:0x6433; xdata:0x6443; xdata:0x6453; xdata:0x66BA; xdata:0x66BD; xdata:0x66ED
