file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2001 90cye01.PZU,true,ok,0x9C3C,xdata_writer_candidate,6,hypothesis,unknown,1,0,1,1,1,1,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xAB40,table_string_candidate,6,hypothesis,state_reader_or_packet_builder,7,6,1,1,3,0,0,0,2,0,0,0,0,
ppkp2001 90cye01.PZU,true,ok,0x457D,table_string_candidate,5,hypothesis,unknown,4,3,2,1,0,0,1,1,0,0,0,0,2,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x47AD,xdata_reader_candidate,5,hypothesis,unknown,6,5,3,2,1,0,0,0,0,0,0,0,4,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x485A,dispatcher_candidate,5,hypothesis,dispatcher_or_router,37,36,1,17,0,0,0,0,0,0,0,0,60,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x4A3B,dispatcher_candidate,5,hypothesis,dispatcher_or_router,28,27,2,13,0,0,0,0,0,0,0,0,18,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x67FE,dispatcher_candidate,5,hypothesis,dispatcher_or_router,13,12,1,6,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x685A,dispatcher_candidate,5,hypothesis,dispatcher_or_router,26,25,1,14,0,0,0,0,0,0,0,0,3,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x90E0,xdata_reader_candidate,5,hypothesis,unknown,3,2,1,1,1,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9275,dispatcher_candidate,5,hypothesis,dispatcher_or_router,6,5,1,7,0,0,0,0,0,0,0,0,6,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x939D,dispatcher_candidate,5,hypothesis,dispatcher_or_router,14,13,1,6,0,0,1,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9C4E,xdata_reader_candidate,5,hypothesis,unknown,1,0,1,1,1,0,0,0,0,0,0,0,5,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x41D0,xdata_reader_candidate,4,unknown,unknown,3,2,0,1,1,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x905D,dispatcher_candidate,4,unknown,dispatcher_or_router,16,15,1,7,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
