file,branch,code_addr,opcode_hex,mnemonic,operands,length,target_addr,fallthrough_addr,is_reachable,source,confidence
90CYE03_19_DKS.PZU,90CYE_DKS,0x770C,90 31 9A,MOV,"DPTR,#0x319A",3,,0x770F,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x770F,E0,MOVX,"A,@DPTR",1,,0x7710,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7710,F9,MOV,"R1,A",1,,0x7711,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7711,12 59 7F,LCALL,0x597F,3,0x597F,0x7714,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7714,FA,MOV,"R2,A",1,,0x7715,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7715,F4,UNK,,1,,0x7716,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x7716,FB,MOV,"R3,A",1,,0x7717,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7717,E9,MOV,"A,R1",1,,0x7718,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7718,75 F0 08,MOV,"0xF0,#0x08",3,,0x771B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x771B,84,UNK,,1,,0x771C,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x771C,F8,MOV,"R0,A",1,,0x771D,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x771D,90 36 F5,MOV,"DPTR,#0x36F5",3,,0x7720,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7720,E0,MOVX,"A,@DPTR",1,,0x7721,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7721,28,UNK,,1,,0x7722,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x7722,90 31 BF,MOV,"DPTR,#0x31BF",3,,0x7725,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7725,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x7728,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7728,E0,MOVX,"A,@DPTR",1,,0x7729,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7729,60 0D,JZ,+13,2,0x7738,0x772B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x772B,90 31 9B,MOV,"DPTR,#0x319B",3,,0x772E,True,flow,high
