file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6919,0x675D,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6926,0x52F8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6940,0x53CB,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x698F,0x69E8,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6995,0x675D,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69A0,0x52F8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69BA,0x52CE,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x69CE,0x52E0,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6A81,0x704E,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6AA4,0x704E,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6AB6,0x6B3F,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6ABC,0x675D,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6AD1,0x52F8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6AEB,0x533F,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6B06,0x3184,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6B17,0x5259,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6B2B,0x526D,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6BBE,0x31DD,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6BE2,0x31DD,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6BF3,0x3184,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6C35,0x6C6E,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6C3B,0x675D,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6CCF,0x3063,0x6D13,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6CDF,0x306C,0x6D6E,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6DBC,0x310B,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6DD1,0x6DDD,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6E32,0x5412,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6E67,0x724E,0x754B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6E91,0x541A,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6EC7,0x724E,0x754B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6EE4,0x31DD,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6EF7,0x31DD,0x6067,probable_pointer_argument,medium
